id,中文名称【所有用到道具名称的地方都是读这里】,插件用【作为插件json文件的名称，不能有空格】,家园图鉴解锁需要的碎片数量,"道具类型【会影响道具的功能，无0，方块1，杂物2，工具3，一组物品4，怪物5，帐号物品6，弓7，投掷8，装备9，枪械10，食物11，12工具+投掷物，13工具+食物，14方块+食物，16机械，17地图通行证，18乐器，19喷漆贴图，20气泡，21武器皮肤，22播报，23称号，24特长碎片,25头像，26动作，27心情框，28背景】",描述中的解锁途径-String表ID,类型描述-String表ID,描述【所有道具tips等用到道具描述的地方，都是读的这里】,获取方式(工匠台和冶炼台的内容可读取并显示在tips上，无需写在这里了),冒险背包最大堆叠数目/做了防作弊的处理，获得超过这个数量会宕机
4095,游戏版本过低,,,,,,快去下载最新的游戏版本吧！,,1
9995,微缩组合,,,,,100015,微缩组合,,64
9996,微缩弓,,,"7",,100002,在道具模型工作台制作的微缩弓,,1
9997,微缩投掷,MiniatureProjectiles,,"8",,100003,在道具模型工作台制作的微缩投掷物,,64
9998,微缩枪械,MiniatureFirearms,,"10",,100004,在道具模型工作台制作的微缩枪械,,1
9999,微缩武器,MiniatureWeapons,,"3",,100005,在道具模型工作台制作的微缩武器,,1
10000,迷你豆,MiniBean,,,,,奇怪的豆子，可以用来打开家园果实,,1
10001,经验值,EXP,,,,,家园植物经验,,1
10002,迷你币,MiniCoin,,,,,迷你世界的货币,,1
10003,迷你宝盒,MiniTreasureBox,,,,,可在迷你宝库兑换奖励。,,1
10004,魔仙徽章,,,"6",,,巴啦啦小魔仙正版授权，活动期间可在魔仙宝库兑换奖励,,1
10005,小草块,GrassBlock1,,,,,可以投给你喜欢的地图，为其增加方块值。（每月1号清空）,,
10006,亮铁块,BrightIronBlock,,,,,可以投给你喜欢的地图，为其增加方块值。（每月1号清空）,,
10007,纯金块,PureGoldBlock,,,,,可以投给你喜欢的地图，为其增加方块值。（每月1号清空）,,
10008,钻石块,ShinyDiamondBlock,,,,,可以投给你喜欢的地图，为其增加方块值。（每月1号清空）,,
10009,迷你点,,,"6",,,通过看广告获得，可在商城广告分区购买商品,,1
10010,筑梦暗语,,,"6",,,可用于商城内开启筑梦礼盒，每个暗语可开启1次,,1
10011,果实券,,,"6",,,可用于家园金果实抽奖，每张果实券可抽1次,,1
10012,活动券,,,"6",,,可在坐骑抽卡机中使用，每张活动券可抽1次,,1
10013,家园币,,,"6",,,,,1
10014,悦享卡,,,"6",,,可解锁悦享卡所有等级奖励,直接购买使用,1
10015,悦享卡加油组合包,,,"6",,,可解锁悦享卡所有等级奖励，并立即提升30个等级,直接购买使用,1
10016,升级加油包,,,"6",,,立即提升悦享卡30个等级,直接购买使用,1
10017,迷你圣诞袜,,,"6",,,圣诞活动期间可在迷你宝库兑换奖励,,1
10018,迷你铃铛,,,"6",,,圣诞活动期间可在迷你宝库兑换奖励,,1
10019,迷你金蛋,,,"6",,,可在迷你宝库兑换奖励,,1
10020,结算宝箱,,,"6",,,结算领取上赛季未领取的奖励,,1
10021,迷你彩蛋,,,"6",,,可在迷你宝库兑换奖励,,1
10022,迷你樱花,,,"6",,,可在迷你宝库兑换奖励,,64
10023,悦享经验卡,,,"6",,,使用可获得500悦享经验,,64
10024,星球传送券,TransferScroll,,"2",,,使用：将你瞬间传送到当前星球的家的位置。(存档地图内提取使用),,64
10025,一叠星球传送券,APlieofTransferScrolls,,"6",,,使用：获得3张星球传送券。(存档地图内提取使用),,64
10026,悦享积分,,,"0",,,可在悦享卡中兑换奖励,,1
10027,迷你大会员1天体验卡,,,"0",,,可增加迷你大会员1天使用时长,,1
10028,迷你大会员3天体验卡,,,"0",,,可增加迷你大会员3天使用时长,,1
10029,迷你大会员7天体验卡,,,"0",,,可增加迷你大会员7天使用时长,,1
10030,迷你大会员15天体验卡,,,"0",,,可增加迷你大会员15天使用时长,,1
10031,普通坐骑通用碎片,,,"6",,,普通坐骑通用解锁碎片，可使用普通坐骑专属碎片兑换获得，在解锁坐骑时可使用。,,9999
10032,高级坐骑通用碎片,,,"6",,,高级坐骑通用解锁碎片，可使用高级坐骑专属碎片兑换获得，在解锁坐骑时可使用。,,9999
10033,迷你大会员月卡,,,"0",,,可增加迷你大会员1个月使用时长,,1
10034,迷你大会员季卡,,,"0",,,可增加迷你大会员3个月使用时长,,1
10035,迷你大会员半年卡,,,"0",,,可增加迷你大会员半年使用时长,,1
10036,迷你大会员年卡,,,"0",,,可增加迷你大会员1年使用时长,,1
10040,星辉暗语,,,"6",,,可用于商城内开启星辉礼盒，每个暗语可开启1次,,1
10041,筑梦皮肤兑换券,,,"6",,,可用于在筑梦礼盒的兑换商店中兑换奖励,,1
10042,星辉皮肤兑换券,,,"6",,,可用于在星辉礼盒的兑换商店中兑换奖励,,1
10043,特长碎片,Genius,,"24",,,用于升级和激活#cfa7a0f特长#n，在#cfa7a0f个人中心-特长#n中查看。获取途径：活动获得、兑换获得,,64
10044,超值闪币卡,,,"0",,,超值闪币卡,,1
10045,特惠迷你月卡,,,"0",,,特惠迷你月卡,,1
10046,迷你积分,,,"6",,,可在积分商城中兑换商品,,64
10047,超级星星,,,"6",,,可在超级摩天轮活动中抽取奖励,,64
10048,兑换券,,,"6",,,用于【魔法锻造台】兑换游戏道具,,9999
10049,高级悦享经验卡,,,"6",,,使用可获得3000悦享经验,,64
10050,以上为付费道具预留,,,"6",,,游戏版本过低,,9999
10051,体力药水,,,"6",,,使用可恢复1点幸运盲盒体力,,64
10052,小顽猴,,,"6",,,,,
10053,安吉洛斯的祝福,,,"6",,,可以用来抵御下一关的小顽猴哦~,,
10054,福利抽奖券,,,"6",,,可用于商城福利页签内抽奖。获取途径：活动获得,,64
10057,嘟嘟啵啵的双倍祝福,,,"6",,,获得祝福后的首次奖励道具翻倍,,
10058,彩曜之星,,,,,,可用于星光奇旅兑换商店中兑换奖励,,
10059,悦享装扮礼盒,,,"6",,,使用后可随机获得以下奖励之一：汉森（永久）*1、格雷特（永久）*1、绣球花少年 查理斯（永久）*1、西部警长乔伊（永久）*1、西部玫瑰露西（永久）*1、迷你豆*120、迷你豆*90,,9999
10060,悦享武器礼盒,,,"6",,,使用后可随机获得以下奖励之一：萌萌恐龙锤（永久）*1、七彩钻石镐（永久）*1、珍珠奶茶*1、迷你豆*60、迷你豆*30,,9999
10061,炸弹赛季幸运礼盒,,,"6",,,限定抽奖礼包,,9999
10062,悦享积分翻倍券,,,"6",,,悦享卡满级后在任务界面使用，使用后以25:1的兑换比例兑换悦享积分,,9999
10063,悦享任务券,,,"6",,,使用后直接完成单个悦享任务，在悦享卡任务界面点击【前往】按钮使用,,9999
10064,飞行棋骰子,,,"6",,,悦享卡飞行棋内使用，可随机摇出1-6的数额,,9999
10099,版本过低,,,,,,,,64
10100,,,,"2",,4802,,,64
10101,,,,"3",,100001,,,1
10102,,,,"7",,100002,,,1
10103,,,,"8",,100003,,,64
10104,,,,"10",,100004,,,1
10105,,,,"10",,100004,,,1
10106,,,,"10",,100004,,,1
10107,,,,"10",,100004,,,1
10108,,,,"10",,100004,,,1
10109,,,,"10",,100004,,,1
10110,,,,"11",,100003,,,64
10111,,,,"15",,21754,,,64
10112,机械胶囊,Mechanicalcapsule,,"16",,100023,对地面使用可以将其中装载的机械放置出来。,,1
10113,畅玩通行证,PassCard,,,,,用于解锁玩家对于地图的体验权限,,
10114,装备模板,,,"9",,100006,,,1
10115,动作饼干,,,"13",,100007,#G使用#n后在2分钟内改变角色的#G@1动作#n,,1
10116,区域,,,"0",,,点击地面放置区域对象。,,1
10117,位置,,,"0",,,点击地面放置位置对象。,,1
10118,显示板,,,"0",,,点击地面放置显示板对象。,,1
10119,蓝图生成器,Painter,,"3",,100006,拿在手上拥有保存土地、房屋、建筑的能力。并且能快速建造各种建筑。,,1
10120,树木生成器,Painter,,"3",,100006,拿在手上拥有支配植物的能力，可快速召唤各种树木。,,1
10121,河流生成器,Painter,,"3",,100006,拿在手上拥有支配河流的能力，可快速挖掘不同宽度的河流。,,1
10122,小布丁,,,"3",,100006,投掷扔出后可以在方块上产生#c0aba1d布丁块#n，布丁块存在#c0aba1d 5秒#n后消失,,64
10123,手持传送门,,,"3",,100006,投掷后可生成两个传送门，有传送功能，但传送门只存在#c0aba1d 5秒#n,,64
10124,生物蛋模板,Mob,,"5",,100022,生物蛋模板,,64
10125,[水墨]毛笔,,,"3",,100006,执笔绘江山,,1
10500,地形编辑器,TerrainEditor,,"3",,100001,"使用后会进入#G地形编辑器界面#n
 进入后默认选择#G笔刷模式#n，可以快速对方块进行填充、替换、清除等操作；
 点击切换模式按钮可切换至#G选区模式#n,可对一定区域内的方块进行操作。
 此道具仅在编辑模式下可使用。",,1
10501,微缩组合装置,,,"3",,100001,使用后会进入#G微缩组合模式#n。选取范围，将范围内的方块批量进行微缩，或将范围内的微缩方块进行组合。生成的微缩组合可以一次放下多个微缩方块,,1
10995,圆柱,,,"0",,,点击地面放置圆柱体。,,1
10996,圆锥,,,"0",,,点击地面放置圆锥体。,,1
10997,长方体,,,"0",,,点击地面放置长方体。,,1
10998,球,,,"0",,,点击地面放置球。,,1
10999,斜面,,,"0",,,点击地面放置斜面。,,1
11000,空手,Empty-handed,,"3",,,,,1
11001,黄铜斧,BrassAxe,,"3",,100006,伐木工具，可以更快地砍伐树木。,,1
11002,石斧,StoneAxe,,"3",,100006,伐木工具，可以更快地砍伐树木。,,1
11003,秘银斧,MithsilverAxe,,"3",,100006,伐木工具，对树木#c0aba1d蓄力#n后使用可砍掉整棵树。,,1
11004,钛合金斧,TitaniumAxe,,"3",,100006,伐木工具，对树木#c0aba1d蓄力#n后使用可砍掉整棵树。,,1
11005,链锯,TungstenGoldAxe,,"3",,100006,伐木工具，#c0aba1d按住蓄力键#n可进入斧类破坏状态，持续破坏接触到的#c0aba1d整棵#n树，直到松开蓄力为止,,1
11006,树枝,ThinBranch,,"0",,,不同树木的树枝都可以作为细树枝来合成,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
11007,树叶,LeafAll,,,,100009,可以用来做@item_1200#燃料或者制氧原料，也可以作为#c0aba1d雪人的头饰#n,,64
11008,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11009,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11010,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11011,黄铜镐,BrassPickaxe,,"3",,100006,开采工具，可以更快的开采矿石。,,1
11012,石镐,StonePickaxe,,"3",,100006,开采工具，可以更快的开采矿石。,,1
11013,秘银镐,MithsilverPickaxe,,"3",,100006,开采工具，#c0aba1d按住蓄力键#n可进入镐类破坏状态，持续破坏接触到的#c0aba1d1*3*1范围#n石头类方块，直到松开蓄力为止,,1
11014,钛合金镐,TitaniumPickaxe,,"3",,100006,开采工具，#c0aba1d按住蓄力键#n可进入镐类破坏状态，持续破坏接触到的#c0aba1d十字范围#n石头类方块，直到松开蓄力为止,,1
11015,钻头,TungstenGoldPickaxe,,"3",,100006,开采工具，#c0aba1d按住蓄力键#n可进入镐类破坏状态，持续破坏接触到的#c0aba1d3*3*1范围#n石头类方块，直到松开蓄力为止,,1
11016,星瞳钻头,Horascopperdrill,,"3",,100006,采矿工具，对石块#c0aba1d蓄力#n后使用可敲掉直线目标方块。,,1
11017,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11018,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11019,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11020,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11021,黄铜铲,BrassShovel,,"3",,100006,挖掘工具，可以更快的挖掘泥沙类方块。,,1
11022,石铲,StoneShovel,,"3",,100006,挖掘工具，可以更快的挖掘泥沙类方块。#r对@item_101#或@item_100#使用能挖@item_103#。,,1
11023,秘银铲,MithsilverShovel,,"3",,100006,挖掘工具，可以更快的挖掘泥沙类方块。,,1
11024,钛合金铲,TitaniumShovel,,"3",,100006,挖掘工具，可以瞬间挖掘直线6格范围的泥沙类方块。#r对@item_101#或@item_100#使用能挖@item_103#。,,1
11025,钨金铲,TungstenGoldShovel,,"3",,100006,挖掘工具，挖掘#c0aba1d泥沙类方块#n速度特别快。#r对@item_101#使用可以挖@item_103#。#r可开采藏在#c0aba1d烈焰星岩浆下面#n的@item_132#。,,1
11026,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11027,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11028,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11029,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11030,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11031,黄铜耙,BrassHoe,,"3",,100006,种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可将其收获。,,1
11032,石耙,StoneHoe,,"3",,100006,种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可将其收获。,,1
11033,秘银耙,MithsilverHoe,,"3",,100006,种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可将其收获，作用范围3x3。,,1
11034,钛合金耙,TitaniumHoe,,"3",,100006,种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可将其收获，作用范围5x5。,,1
11035,钨金耙,TungstenGoldHoe,,"3",,100006,种植工具，对@item_101#、@item_100#使用可将其变为@item_102#。#r对成熟的农作物使用可以将其#c0aba1d收割#n，作用范围3*3。#r对空的耕地使用可以将背包中的@item_11400#进行#c0aba1d播种#n，作用范围3*3。,,1
11036,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11037,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11038,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11039,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11040,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11041,头部,Head,,"0",,,,,1
11042,胸部,Chest1,,"0",,,,,1
11043,腿部,Legs,,"0",,,,,1
11044,脚部,Feet,,"0",,,,,1
11045,背饰,BackDecoration,,"0",,,,,1
11046,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11047,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11048,木桶,WoodenBucket,,"2",,100001,对#c0aba1d水#n使用，可以获得@item_11049#。#r注意：指向对应液体方块#c0aba1d长按#n使用按钮进行收集,,64
11049,瓶装水,BottledWater,,"2",,100001,使用后将水#c0aba1d倒出#n，并获得@item_11320#。,对水使用@item_11320#获得。,1
11050,秘银桶,MithsilverBucket,,"2",,100001,可以对#c0aba1d水、满的蜂巢#n使用，分别可以获得@item_11051#、@item_11053#。#r注意：指向对应液体方块#c0aba1d长按#n使用按钮进行收集,,64
11051,瓶装水,BottledWater1,,"2",,100001,使用后将水#c0aba1d倒出#n，并获得@item_11320#。,对水使用@item_11320#获得。,1
11052,岩浆坩埚,LavaCopple,,"2",,100001,使用后将岩浆#c0aba1d倒出#n，并获得@item_11064#。#r岩浆会使#c0aba1d周围温度大幅升高#n,对岩浆使用@item_11064#获得。,1
11053,蜂蜜秘银桶,BucketofHoney,,"2",,100001,使用后将蜂蜜#c0aba1d倒出#n，并获得@item_11050#。#r注意：蜂蜜和岩浆、水接触会产生反应。,可对满的蜂巢使用@item_11050#。,1
11055,点火器,Flint,,"3",,100001,无法制作。,,1
11056,秘银剪,Scissor,,"3",,100001,#r对带有#c0aba1d物理特性#n的道具使用，可以清除它们。,,1
11057,拴绳,Rope,,"3",,,可以用来拴住动物。,,64
11058,捕鱼网,FishingNet,,"3",,100001,对鱼使用可将鱼变成#c0aba1d道具形态#n。,,1
11059,拐杖糖镐,CandycanePickaxe,,"13",,,#c0aba1d食用#n后在180秒内#c0aba1d变大#n。#r可用来快速的开采矿石。,圣诞活动期间圣诞老人处购买。#r拆开圣诞礼盒也有机会获得。,1
11060,棒棒糖斧,LollipopAxe,,"13",,,#c0aba1d食用#n后在180秒内#c0aba1d变小#n。#r可用来快速的开采木材。,圣诞活动期间圣诞老人处购买。#r拆开圣诞礼盒也有机会获得。,1
11061,大宝剑,BigSword,,"3",,,及其坚固的近战武器。,元旦活动期间元旦商人处购买。,1
11062,大宝铲,BigShovel,,"3",,,挖掘工具，挖掘@item_101#、@item_29#、@item_107#速度特别快.,元旦活动期间元旦商人处购买。,1
11063,仙云棒,FairyWand,,"0",,,使用后在面前生成一个@item_118#。,,1
11064,坩埚,Copple,,"2",,100001,可以对#c0aba1d岩浆#n使用，可以获得@item_11052#。#r注意：指向对应液体方块#c0aba1d长按#n使用按钮进行收集,,64
11065,盛水钛桶,WaterTitaniumBucket,,"2",,100001,使用后将水#c0aba1d倒出#n，并获得钛合金桶。,对水使用钛合金桶获得。,1
11066,蜂蜜钛桶,BucketofHoney,,"2",,100001,使用后将蜂蜜#c0aba1d倒出#n，并获得钛合金桶。#r注意：蜂蜜和岩浆、水接触会产生反应。,对满的蜂巢使用钛合金桶获得。,1
11067,红色的羽毛,Redfeather,,"2",,100019,一根红色的羽毛，可以作为激活装备符文的副材料。,击败飞鸡后掉落。,64
11068,鸡爪,ChickenPaw,,"2",,100019,可以作为激活装备符文的副材料。,击败战斗鸡后掉落。,64
11069,鸡嘴,Chickenbeak,,"2",,100019,制作@item_11638#的材料之一。,击败尖叫鸡后掉落。,64
11070,扳手,Wrench,,"3",,100017,对某些星能元件方块使用后，可以改变方块模式。,,1
11071,自定义视角,CustomCamera,,"2",,100021,使用会进入自定义视角界面，可自由移动并调整你的视角，测试并保存后创造出多种视角玩法。仅在玩法模式编辑下可用。,,1
11072,图纸-火箭科技,Blueprint-Spaceship,,"0",,,使用后可以在@item_800#解锁飞往神秘星球的@item_13803#和@item_11096#的制作。,打败远古黑龙后，破坏龙巢中的罐子获得。,1
11073,星瞳石,Horascopper,,"2",,,使用@item_800#制作工具和装备的材料。,,64
11074,紫荧石,Horasgraviti,,"2",,,使用@item_800#制作工具和装备的材料。,,64
11075,星启石,RegenRune,,"2",,100019,对@item_1042#或@item_1058#使用可将其#c0aba1d激活#n，并生成#c0aba1d氧气区#n。#r每次激活#c0aba1d消耗#n1个星启石。,使用@item_11090#后，@item_800#解锁制作。,64
11076,星辉石,IlluRune,,"2",,100019,对已激活的@item_1042#或@item_1058#使用，可点亮其#c0aba1d地图标记#n，再次使用取消标记。#r每次点亮#c0aba1d消耗#n1个星辉石。,使用@item_11091#后，@item_800#解锁制作。,64
11077,岩石碎片,ShardofRocki,,"2",,100019,使用@item_800#制作@item_11076#、@item_11075#等道具的材料之一。,击败萌眼叮叮有几率掉落。,64
11078,冰晶,ShardofFrosti,,"2",,100019,使用@item_800#制作@item_11076#等道具的材料之一。,击败萌眼咚咚有几率掉落。,64
11079,聚合物,ShardofBulli,,"2",,100019,使用@item_800#制作@item_11076#等道具的材料之一。,击败萌眼当当有几率掉落。,64
11080,重力结晶,ShardofGraviti,,"2",,100019,使用@item_800#制作@item_15520#、@item_12291#、@item_12006#的材料之一。,击败萌眼咻咻有几率掉落。,64
11081,图纸-序列技术,Blueprint-Sequence,,"2",,100001,使用后可在@item_800#中解锁@item_1054#和@item_11809#的制作。,在萌眼星遗迹地道中破坏宝藏后随机获得。#r宇宙商人有时会出售。,64
11082,图纸-缩小技术,Blueprint-Minish,,"2",,100001,使用后可在@item_800#中解锁@item_12587#的制作。,在萌眼星遗迹地道中破坏宝藏后随机获得。#r宇宙商人有时会出售。,64
11083,图纸-变异技术,Blueprint-Mutation,,"2",,100001,使用后可在@item_800#中解锁@item_466#、@item_467#、@item_468#、@item_11800#的制作。,在萌眼星遗迹地道中破坏宝藏后随机获得。#r宇宙商人有时会出售。,64
11084,图纸-氧气提炼器,Blueprint-Oxygenpump,,"2",,100001,使用后可在@item_800#中解锁@item_1045#的制作。,在萌眼星遗迹地道中破坏宝藏后随机获得。#r宇宙商人有时会出售。,64
11085,图纸-压缩气罐（空）,Blueprint-Gastank(Empty),,"2",,100001,使用后可在@item_800#中解锁@item_1047#的制作。,在萌眼星遗迹地道中破坏宝藏后随机获得。#r宇宙商人有时会出售。,64
11086,图纸-星球培养基,Blueprint-PlantMedium,,"2",,100001,使用后可在@item_800#中解锁@item_1050#的制作。,在萌眼星遗迹地道中破坏宝藏后随机获得。#r宇宙商人有时会出售。,64
11087,图纸-星瞳钻头,Blueprint-Horascopperdrill,,"2",,100001,使用后可在@item_800#中解锁@item_11016#的制作。,在萌眼星遗迹地道中破坏宝藏后随机获得。#r宇宙商人有时会出售。,64
11088,图纸-喷射钩爪,Blueprint-Hookshot,,"2",,100001,使用后可在@item_800#中解锁@item_12006#的制作。,在萌眼星遗迹地道中破坏宝藏后随机获得。#r宇宙商人有时会出售。,64
11089,图纸-氧气背包,Blueprint-Oxygenpack,,"2",,100001,使用后可在@item_800#中解锁@item_12275#的制作。,在萌眼星遗迹地道中破坏宝藏后随机获得。#r宇宙商人有时会出售。,64
11090,图纸-星启石,Blueprint-RegenRune,,"2",,100001,使用后可在@item_800#中解锁@item_11075#的制作。,在萌眼星遗迹地道中破坏宝藏后随机获得。#r宇宙商人有时会出售。,64
11091,图纸-星辉石,Blueprint-IlluRune,,"2",,100001,使用后可在@item_800#中解锁@item_11076#的制作。,在萌眼星遗迹地道中破坏宝藏后随机获得。#r宇宙商人有时会出售。,64
11092,图纸-苍石灰系列,Blueprint-LightGrey,,"2",,,使用后解锁解析器和指令集的制作。,可以在萌眼星地表各处的宝藏水晶或宇宙商人处获得。,64
11093,图纸-苍石灰薄板,Blueprint-LightGreystep,,"2",,,使用后解锁解析器和指令集的制作。,可以在萌眼星地表各处的宝藏水晶或宇宙商人处获得。,64
11094,图纸-苍石灰围栏,Blueprint-LightGreyfence,,"2",,,使用后解锁解析器和指令集的制作。,可以在萌眼星地表各处的宝藏水晶或宇宙商人处获得。,64
11095,星团云瓶,BottledHorasCloud,,"2",,100001,在#c0aba1d非水中环境#n使用后，会在面前位置制作一块云团。,,64
11096,航空燃料,Spaceshipfuel,,"2",,100001,对@item_13803#使用，可以为火箭填充燃料。#r使用@item_11072#后，@item_800#解锁制作。,,64
11097,图纸-无线装置,Blueprint-WirelessSignalDevice,,"2",,100001,使用后可以在@item_800#中解锁@item_1052#和@item_1053#的制作。,在萌眼星遗迹地道中破坏宝藏后随机获得。#r宇宙商人有时会出售。,64
11098,图纸-信号接收器,Blueprint-SignalReceiver,,"2",,,,图腾下方的宝藏水晶中获得,64
11099,机械燃油,Mechanicalfuel,,"2",,100023,对#c0aba1d装有燃料引擎的#n机械使用，为其引擎添加燃料。,,64
11100,手持式编辑器,HandheldEditor,,"3",,,对方块/生物右键点击出现详细编辑界面，可以快速编辑选中的生物/方块的属性。,,1
11101,连接器,Connector,,"3",,100023,"手持时，显示附近机械上的部件连接情况，包括#c0aba1d正方形端点和连接线#n。
#r对某个端点使用可拉出连接线，再对要连接的其它端点使用，可以#c0aba1d为这两个端点对应的部件建立连接#n。#r建立连接后，无需通过星能相连也可以实现控制效果。",,1
11102,图纸-星能振荡器,Blueprint-Oscillator,,"2",,,精密图纸，使用后解锁@item_1182#的制作。,在沙漠地下古堡的密室宝箱中获得,64
11103,11103-11199是预留给建筑图纸的,,,,,,,,
11104,图纸-冰原住宅建筑1,BlueprintPlan,,"0",,,冰原部落的建筑图纸1，可以对@item_150004#使用，填满材料后，工人村民伙伴会按照图纸自动建造。,,1
11105,图纸-冰原住宅建筑2,BlueprintPlan,,"0",,,冰原部落的建筑图纸2，可以对@item_150004#使用，填满材料后，工人村民伙伴会按照图纸自动建造。,,1
11106,图纸-冰原住宅建筑3,BlueprintPlan,,"0",,,冰原部落的建筑图纸3，可以对@item_150004#使用，填满材料后，工人村民伙伴会按照图纸自动建造。,,1
11107,图纸-冰原住宅建筑4,BlueprintPlan,,"0",,,冰原部落的建筑图纸4，可以对@item_150004#使用，填满材料后，工人村民伙伴会按照图纸自动建造。,,1
11108,图纸-冰原住宅建筑5,BlueprintPlan,,"0",,,冰原部落的建筑图纸5，可以对@item_150004#使用，填满材料后，工人村民伙伴会按照图纸自动建造。,,1
11109,图纸-冰原住宅建筑6,BlueprintPlan,,"0",,,冰原部落的建筑图纸6，可以对@item_150004#使用，填满材料后，工人村民伙伴会按照图纸自动建造。,,1
11110,图纸-冰原住宅建筑7,BlueprintPlan,,"0",,,冰原部落的建筑图纸7，可以对@item_150004#使用，填满材料后，工人村民伙伴会按照图纸自动建造。,,1
11111,图纸-木冰屋,BlueprintPlan,,"0",,,木冰屋的建筑图纸，可以对@item_150004#使用，填满材料后，工人村民伙伴会按照图纸自动建造。,,1
11112,图纸-箭塔,BlueprintPlan,,"0",,,箭塔的建筑图纸，可以对@item_150004#使用，填满材料后，工人村民伙伴会按照图纸自动建造。,,1
11113,图纸-冰屋,BlueprintPlan,,"0",,,冰屋的建筑图纸，可以对@item_150004#使用，填满材料后，工人村民伙伴会按照图纸自动建造。,,1
11114,企鹅窝,,,,,,,,64
11200,水泥,Cement,,"2",,100019,制作@item_666#和@item_11213#的材料。,在@item_800#加工获得,64
11201,凝能晶,CondensedEnergyCrystal,,"2",,100019,可以作为燃料。,开采@item_402#。,64
11202,黑炭,Charcoal,,"2",,100019,放置了太久，似乎已经没有什么作用了。,,64
11203,钨金,TungstenGold,,"2",,100019,使用@item_800#制作高级工具和装备的材料。,,64
11204,琥珀,Malachite,,"2",,100019,使用@item_800#制作部分器械道具的材料。#r商人经常需要的材料之一。,开采@item_406#获得。,64
11205,星站能源碎片,AncientGems,,"2",,100019,能源碎片可用于修复、加工@item_11331#，并激活星站控制台#r虚空战争后，大量星站被破坏并掩埋在地下，破裂的能源核心也分散到了各地,挖掘@item_598#掉落,64
11206,曙光石粉,DawnPowder,,"2",,100019,使用@item_800#制作@item_536#的材料。,在烈焰星，击碎@item_536#获得。,64
11207,炽炎,FlameCrystal,,"2",,100019,使用@item_800#制作装备和道具材料之一。,,64
11208,炽炎粒,FlameCrystalGrain,,"2",,100019,使用@item_800#制作高级食物的材料之一。,,64
11209,秘银,Mithsilver,,"2",,100019,使用@item_800#制作秘银工具和装备的材料之一。,,64
11210,云母,Silica,,"2",,100019,使用@item_800#制作@item_412#的材料。,开采@item_407#。#r商人有时会出售。,64
11211,火种,Kindling,,"2",,100019,使用@item_800#制作@item_11217#、@item_15520#的材料之一。,击败硫黄射手掉落。,64
11213,水泥砖,CementBrick,,"2",,,使用@item_800#制作@item_547#的材料。,,64
11214,硫黄砖,SulfurBrick,,"2",,100019,使用@item_800#制作@item_537#的材料。,,64
11215,熔岩号角,LavaHorn,,"2",,100019,对@item_765#使用，可以解除封印，召唤熔岩黑龙。,击败远古黑龙后在@item_800#解锁制作。,1
11216,混乱号角,ChaosHorn,,"2",,100019,对@item_765#使用，可以解除封印，召唤混乱黑龙。,击败熔岩黑龙后在@item_800#解锁制作。,1
11217,生命结晶,LifeCrystal,,"2",,100019,使用@item_800#加工@item_11215#的材料之一。,击败远古黑龙后在@item_800#解锁制作。,64
11218,岩石结晶,LavaCrystal,,"2",,100019,使用@item_800#加工@item_11215#的材料之一。,击败远古黑龙后在@item_800#解锁制作。,64
11219,混乱结晶,ChaosCrystal,,"2",,100019,使用@item_800#加工@item_11216#的材料之一。,击败熔岩黑龙后在@item_800#解锁制作。,64
11220,宝石结晶,GemCrystal,,"2",,100019,使用@item_800#加工@item_11216#的材料之一。,击败熔岩黑龙后在@item_800#解锁制作。,64
11221,龙骨,DragonBone,,"2",,100019,使用@item_800#制作@item_12056#的材料之一。,打败熔岩黑龙或混乱黑龙后，破坏龙巢中的罐子。,64
